SeniorCitizen,tenure,MonthlyCharges,TotalCharges,churned,tenure_years,is_new_customer,is_very_new,is_established,is_long_term,tenure_risk,tenure_squared,log_tenure,is_month_to_month,is_one_year,is_two_year,contract_risk,is_auto_payment,is_electronic_check,is_paperless,payment_risk,payment_stability,service_count,has_security,has_tech_support,has_backup,has_protection,has_internet,is_fiber_optic,no_internet,has_phone,has_multiple_lines,service_adoption_rate,no_protection,no_support,is_senior,has_partner,has_dependents,is_single,family_size,is_male,avg_monthly_from_total,charge_trend,charge_trend_pct,is_high_charge,total_revenue_per_month,lifetime_value,charge_per_service,mrr_percentile,price_sensitivity,contract_tenure_risk,payment_service_risk,value_at_risk,engagement_score,churn_risk_score,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,29.85,29.85,0,0.08333333333333333,1,1,0,0,0.9861111111111112,1,0.6931471805599453,1,0,0,1.0,0,1,1,1.0,0.7,1,0,0,1,0,1,0,0,0,0,0.16666666666666666,1,1,0,1,0,0,1,0,14.925,14.925,0.9993304318714429,0,14.925,388.05,14.925,0.23377821950873207,1,0.9861111111111112,0.8333333333333334,29.85,0.07083333333333332,0.8798611111111111,False,False,False,False,False,True,False
0,34,56.95,1889.5,0,2.8333333333333335,0,0,1,0,0.5277777777777778,1156,3.5553480614894135,0,1,0,0.5,0,0,0,0.7,1.0,2,1,0,0,1,1,0,0,1,0,0.3333333333333333,0,0,0,0,0,1,0,1,53.98571428571429,2.9642857142857153,0.05489853692091967,0,53.98571428571429,2619.7000000000003,18.983333333333334,0.3941502200766719,0,0.2638888888888889,0.4666666666666667,28.475,0.275,0.6136111111111111,False,False,True,False,False,False,True
0,2,53.85,108.15,1,0.16666666666666666,1,1,0,0,0.9722222222222222,4,1.0986122886681098,1,0,0,1.0,0,0,1,0.7,1.0,2,1,0,1,0,1,0,0,1,0,0.3333333333333333,0,0,0,0,0,1,0,1,36.050000000000004,17.799999999999997,0.49362174154187455,0,36.050000000000004,753.9,17.95,0.35517535141275025,1,0.9722222222222222,0.4666666666666667,53.85,0.14166666666666666,0.8997222222222222,False,False,False,False,False,False,True
0,45,42.3,1840.75,0,3.75,0,0,1,0,0.375,2025,3.828641396489095,0,1,0,0.5,1,0,0,0.2,1.0,3,1,1,0,1,1,0,0,0,0,0.5,0,0,0,0,0,1,0,1,40.016304347826086,2.283695652173911,0.05705487152470382,0,40.016304347826086,2411.1,10.575,0.26835155473519806,0,0.1875,0.1,21.15,0.6875,0.45875,False,False,True,False,False,False,False
0,2,70.7,151.65,1,0.16666666666666666,1,1,0,0,0.9722222222222222,4,1.0986122886681098,1,0,0,1.0,0,1,1,1.0,0.7,0,0,0,0,0,1,1,0,1,0,0.0,1,1,0,0,0,1,0,0,50.550000000000004,20.15,0.3985363924050632,1,50.550000000000004,989.8000000000001,70.7,0.5075961948033508,2,0.9722222222222222,1.0,70.7,0.008333333333333337,0.9930555555555556,True,False,False,False,False,True,False
0,8,99.65,820.5,1,0.6666666666666666,1,0,0,0,0.8888888888888888,64,2.1972245773362196,1,0,0,1.0,0,1,1,1.0,0.7,3,0,0,0,1,1,1,0,1,1,0.5,0,1,0,0,0,1,0,0,91.16666666666667,8.483333333333334,0.09304281066062224,1,91.16666666666667,1993.0,24.9125,0.865824222632401,2,0.8888888888888888,0.5,99.65,0.23333333333333336,0.9222222222222222,True,False,False,False,False,True,False
0,22,89.1,1949.4,0,1.8333333333333333,0,0,0,0,0.6944444444444444,484,3.1354942159291497,1,0,0,1.0,1,0,1,0.0,1.0,2,0,0,1,0,1,1,0,1,1,0.3333333333333333,1,1,0,0,1,0,1,1,84.75652173913043,4.34347826086956,0.0512404917856208,1,84.75652173913043,3029.3999999999996,29.7,0.7332102797103507,2,0.6944444444444444,0.0,89.1,0.525,0.5902777777777777,True,False,False,False,True,False,False
0,10,29.75,301.9,0,0.8333333333333334,1,0,0,0,0.8611111111111112,100,2.3978952727983707,1,0,0,1.0,0,0,0,0.7,1.0,1,1,0,0,0,1,0,0,0,0,0.16666666666666666,0,0,0,0,0,1,0,0,27.44545454545454,2.3045454545454582,0.08393761795967035,0,27.44545454545454,654.5,14.875,0.232713332386767,1,0.8611111111111112,0.5833333333333334,29.75,0.10833333333333331,0.8886111111111111,False,False,False,False,False,False,True
0,28,104.8,3046.05,1,2.3333333333333335,0,0,1,0,0.6111111111111112,784,3.367295829986474,1,0,0,1.0,0,1,1,1.0,0.7,4,0,1,0,1,1,1,0,1,1,0.6666666666666666,0,0,0,1,0,0,1,0,105.03620689655173,-0.2362068965517352,-0.002248599959295522,1,105.03620689655173,4192.0,20.96,0.9231151497941218,2,0.6111111111111112,0.33333333333333337,104.8,0.3833333333333333,0.736111111111111,True,False,False,False,False,True,False
0,62,56.15,3487.95,0,5.166666666666667,0,0,1,1,0.13888888888888884,3844,4.143134726391533,0,1,0,0.5,1,0,0,0.2,1.0,2,1,0,1,0,1,0,0,1,0,0.3333333333333333,0,0,0,0,1,0,1,1,55.364285714285714,0.7857142857142847,0.014189154326402128,0,55.364285714285714,4155.099999999999,18.716666666666665,0.3886128070424535,0,0.06944444444444442,0.13333333333333336,28.075,0.6916666666666667,0.3163888888888889,False,False,True,False,False,False,False
0,13,49.95,587.45,0,1.0833333333333333,0,0,0,0,0.8194444444444444,169,2.6390573296152584,1,0,0,1.0,0,0,1,0.7,1.0,1,1,0,0,0,1,0,0,1,0,0.16666666666666666,0,0,0,1,1,0,2,1,41.96071428571429,7.989285714285714,0.19035381813849792,0,41.96071428571429,1248.75,24.975,0.3254295044725259,1,0.8194444444444444,0.5833333333333334,49.95,0.12083333333333335,0.7781944444444444,False,False,False,False,False,False,True
0,16,18.95,326.8,0,1.3333333333333333,0,0,0,0,0.7777777777777778,256,2.833213344056216,0,0,1,0.0,1,0,0,0.0,1.0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,1,0,1,19.223529411764705,-0.2735294117647058,-0.014221488209927512,0,19.223529411764705,530.6,18.95,0.003336646315490558,0,0.0,0.0,0.0,0.36666666666666664,0.3944444444444445,False,True,False,True,True,False,False
